video_id,title,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,active_since_days
v=B4xajjYmmMk,25 NO-BRAINER HACKS TO MAKE YOUR LIFE SIMPLER,723,4760243,45,8,1,7,0,2,5.625,1,1,0.0,1460
v=o7XyOFj_090,10 GOOD HABITS YOU MUST ADOPT ASAP,1020,11850432,34,7,0,6,0,1,4.857142857142857,1,1,0.7,1460
v=nyCAdpGO4o8,12 WAYS TO ALWAYS WIN AT LIFE,900,317784,29,7,0,6,0,2,4.142857142857143,1,1,0.8,1460
v=KoUYh86ORrM,88 MOST USEFUL HACKS EVER,3420,9674145,25,5,0,4,0,1,5.0,1,1,0.4,1460
v=Evausogjmi4,8 EASY DESSERTS YOU CAN MAKE IN A MINUTE,543,2714720,40,9,0,8,0,4,4.444444444444445,1,1,0.43333333333333335,1460
v=yyL0xkustjo,12 BEST DIY BODY TREATMENTS,556,2123818,27,5,0,4,0,0,5.4,1,1,1.0,1460
v=LMTscX53f2U,10 SUPERB CRAFTS FOR PRO,553,208176,24,5,0,4,0,1,4.8,1,1,1.0,1460
v=CJaVESfGtXo,15 FANTASTIC CRAFTS TO SPICE UP YOUR BEDROOM,697,1715523,44,8,0,7,0,3,5.5,1,1,0.4,1460
v=MGvmhYUpe6w,13 TIPS TO FINALLY ORGANIZE YOUR HOME,695,5715959,37,7,0,6,0,2,5.285714285714286,1,1,0.0,1460
v=QGdfZLLEmyM,12 BRILLIANT DIYs EVERYONE MUST TRY,626,306897,35,6,0,4,0,0,5.833333333333333,1,1,0.9,1460
v=CpTyOaG-Ifg,10 COMMON HABITS THAT KILL US,555,659254,29,6,0,5,0,1,4.833333333333333,1,1,-0.3,1460
v=BllPpRwMmGM,18 FUN CRAFTS FOR THE WHOLE FAMILY,900,9146739,34,7,0,6,0,2,4.857142857142857,1,1,0.25,1460
v=bsq1zBzOmBY,9 AWESOME DIY NOTEBOOKS YOU'LL WANT TO WRITE IN,473,347111,47,9,1,8,0,3,5.222222222222222,1,1,1.0,1460
v=yIDMtm94nJw,15 ULTIMATE BEAUTY HACKS THAT WILL SAVE YOUR DAY,713,5578396,48,9,0,8,0,3,5.333333333333333,1,1,0.0,1460
v=t04s4NB6ROE,100 BEST LIFE HACKS TO SIMPLIFY YOUR LIFE,2940,2555778,41,8,0,7,0,2,5.125,1,1,1.0,1460
v=vnDHgSDz5dg,18 TOP HACKS WITH THINGS YOU HAVE AT HOME,692,3053535,41,9,0,8,0,4,4.555555555555555,1,1,0.5,1460
v=pjHjjmHPqCM,13 TIPS TO BEAT STRESS THAT ACTUALLY WORK,503,227726,41,8,0,7,0,2,5.125,1,1,0.0,1460
v=NFaHoWtEm10,30 STUDENT HACKS YOU'D WISH YOU'D KNOWN SOONER,900,86249454,46,8,2,7,0,2,5.75,1,1,0.0,1460
